Rank,Tier,LP,Name
1,Challenger,"1,613 LP",Youtube Thal
2,Challenger,"1,594 LP",znhy
3,Challenger,"1,506 LP",곽곽보성
4,Challenger,"1,404 LP",T1 Gumayusi
5,Challenger,"1,346 LP",kuangxiaotian
6,Challenger,"1,331 LP",Destiny
7,Challenger,"1,331 LP",yezouhua
8,Challenger,"1,304 LP",DWG ShowMaker
9,Challenger,"1,287 LP",Gen G Clid
10,Challenger,"1,279 LP",꿈의 남자
11,Challenger,"1,277 LP",용호야
12,Challenger,"1,251 LP",HLE CaD
13,Challenger,"1,237 LP",골목대장 태훈이
14,Challenger,"1,215 LP",DWG Canyon
15,Challenger,"1,169 LP",qpalzmwoaj
16,Challenger,"1,151 LP",DGA Sup
17,Challenger,"1,141 LP",실망자
18,Challenger,"1,137 LP",Gen G Karis
19,Challenger,"1,135 LP",supupsupupsupup
20,Challenger,"1,131 LP",byg97
21,Challenger,"1,128 LP",Sei2e the day
22,Challenger,"1,123 LP",Gen G Kellin
23,Challenger,"1,113 LP",스피어 게이밍
24,Challenger,"1,110 LP",jkjkjkjkk
25,Challenger,"1,105 LP",JFGJRETSDVC
26,Challenger,"1,095 LP",T1 BurdoI
27,Challenger,"1,082 LP",야생을죽이기위해
28,Challenger,"1,080 LP",KzcXaz
29,Challenger,"1,078 LP",리치 or 개복치
30,Challenger,"1,067 LP",10k EGO
31,Challenger,"1,049 LP",서포터할줄알아요
32,Challenger,"1,065 LP",qwewqrgdf
33,Challenger,"1,062 LP",나는대포너는머포
34,Challenger,"1,060 LP",bubeizhua
35,Challenger,"1,059 LP",코딱지나파야겠다
36,Challenger,"1,056 LP", 초바 모자
37,Challenger,"1,051 LP",KT Malrang
38,Challenger,"1,046 LP",타 잔
39,Challenger,"1,046 LP",So1o game
40,Challenger,"1,043 LP",madkoed
41,Challenger,"1,043 LP",Once again xxx
42,Challenger,"1,042 LP",울부짖는마오카이
43,Challenger,"1,034 LP",DWG Ghost
44,Challenger,"1,032 LP",SANDBOX OnFleek
45,Challenger,"1,031 LP",Iove galio
